sample	genotype	tissue	fq1	fq2
wt_leaf_1	wt	leaf	data/Pehyb_QuattBatch01_S1-1_R1.fq.gz	data/Pehyb_QuattBatch01_S1-1_R2.fq.gz
wt_leaf_2	wt	leaf	data/Pehyb_QuattBatch01_S1-2_R1.fq.gz	data/Pehyb_QuattBatch01_S1-2_R2.fq.gz
wt_leaf_3	wt	leaf	data/Pehyb_QuattBatch01_S1-3_R1.fq.gz	data/Pehyb_QuattBatch01_S1-3_R2.fq.gz
35SAN2_leaf_1	35SAN2	leaf	data/Pehyb_QuattBatch01_S2-1_R1.fq.gz	data/Pehyb_QuattBatch01_S2-1_R2.fq.gz
35SAN2_leaf_2	35SAN2	leaf	data/Pehyb_QuattBatch01_S2-2_R1.fq.gz	data/Pehyb_QuattBatch01_S2-2_R2.fq.gz
35SAN2_leaf_3	35SAN2	leaf	data/Pehyb_QuattBatch01_S2-3_R1.fq.gz	data/Pehyb_QuattBatch01_S2-3_R2.fq.gz
35SAN4_leaf_1	35SAN4	leaf	data/Pehyb_QuattBatch01_S3-1_R1.fq.gz	data/Pehyb_QuattBatch01_S3-1_R2.fq.gz
35SAN4_leaf_2	35SAN4	leaf	data/Pehyb_QuattBatch01_S3-2_R1.fq.gz	data/Pehyb_QuattBatch01_S3-2_R2.fq.gz
35SAN4_leaf_3	35SAN4	leaf	data/Pehyb_QuattBatch01_S3-3_R1.fq.gz	data/Pehyb_QuattBatch01_S3-3_R2.fq.gz
wt_Petal_1	wt	petal	data/Pehyb_s5-1_R1.fq.gz	data/Pehyb_s5-1_R2.fq.gz
wt_Petal_2	wt	petal	data/Pehyb_s5-2_R1.fq.gz	data/Pehyb_s5-2_R2.fq.gz
35SAN2_Petal_2	35SAN2	petal	data/Pehyb_s6-2_R1.fq.gz	data/Pehyb_s6-2_R2.fq.gz
35SAN2_Petal_3	35SAN2	petal	data/Pehyb_s6-3_R1.fq.gz	data/Pehyb_s6-3_R2.fq.gz
35SAN4_Petal_1	35SAN4	petal	data/Pehyb_s7-1_R1.fq.gz	data/Pehyb_s7-1_R2.fq.gz
35SAN4_Petal_2	35SAN4	petal	data/Pehyb_s7-2_R1.fq.gz	data/Pehyb_s7-2_R2.fq.gz
35SAN4_Petal_3	35SAN4	petal	data/Pehyb_s7-3_R1.fq.gz	data/Pehyb_s7-3_R2.fq.gz
35SPH4_Petal_2	35SPH4	petal	data/Pehyb_s8-2_R1.fq.gz	data/Pehyb_s8-2_R2.fq.gz
35SPH4_Petal_3	35SPH4	petal	data/Pehyb_s8-3_R1.fq.gz	data/Pehyb_s8-3_R2.fq.gz
